X;Y;calle;tipocalle;angulo;tipo
722843.31;4379988.38499999978;1 D´OCTUBRE;C/;120;2
722919.291;4379861.439;1 D´OCTUBRE;C/;122;2
722817.408;4380034.889;1 D´OCTUBRE;C/;118;2
722793.195;4380077.644;1 D´OCTUBRE;C/;121;2
722868.356;4379946.102;1 D´OCTUBRE;C/;121;2
722893.926;4379903.132;1 D´OCTUBRE;C/;120;2
729522.109;4371708.16899999976;ABADIA DEL ROSARIO;C/;0;0
725739.339;4372563.213;ABADIA SAN MARTIN;C/;0;0
725428.532;4372922.10099999979;ABADIA SAN NICOLAS;C/;0;0
729268.538;4371392.314;ABASTOS;C/;258;1
729255.355;4371329.864;ABASTOS;C/;258;4
726263.102;4373636.275;ABEJUELA;C/;343;2
727837.543;4372265.591;ABEN AL ABBAR;C/;72;4
727854.367;4372318.847;ABEN AL ABBAR;C/;72;4
727774.741;4372067.098;ABEN AL ABBAR;C/;72;4
727734.834;4371941.098;ABEN AL ABBAR;C/;72;4
727796.235;4372135.11;ABEN AL ABBAR;C/;72;4
727818.335;4372204.847;ABEN AL ABBAR;C/;72;4
726205.545;4370823.86099999957;ABEN AMIR;C/;88;4
724621.704;4374582.835;ACACIAS;C/;69;1
724572.666;4374457.35;ACACIAS;C/;69;1
724813.29;4374321.85;ACADEMICO CASTAÑEDA;C/;196;3
730007.437;4372857.689;ACEQUIA DE LA CADENA;C/;2;2
730077.967;4372855.94799999986;ACEQUIA DE LA CADENA;C/;178;4
726809.838;4369628.78699999955;ACEQUIA FABIANA;C/;57;2
726712.4;4369660.967;ACEQUIA FABIANA;C/;337;2
724661.882;4373988.369;ACORAZADO;C/;207;2
723630.508;4370782.37799999956;ACTOR DANIEL BENITEZ;C/;0;0
728757.192;4372646.78699999955;ACTOR ENRIQUE RAMBAL;C/;0;0
728643.236;4372650.467;ACTOR ENRIQUE RAMBAL;C/;252;4
728666.306;4372721.09;ACTOR ENRIQUE RAMBAL;C/;252;4
727529.36;4372010.34;ACTOR LLORENS;C/;250;4
727573.772;4372134.599;ACTOR LLORENS;C/;251;4
727598.46;4372203.849;ACTOR LLORENS;C/;250;4
729260.84;4372701.156;ACTOR MAURI;C/;343;1
729182.891;4372723.852;ACTOR MAURI;C/;341;1
729119.509;4372745.261;ACTOR MAURI;C/;342;2
